year,survey,prefix,filename,url,is_revision,has_dictionary,dictionary_filename,release
2019,Directory,HD,HD2019.zip,https://nces.ed.gov/ipeds/datacenter/data/HD2019.zip,False,True,HD2019_Dict.zip,
2019,InstitutionalCharacteristics,IC,IC2019.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2019.zip,False,True,IC2019_Dict.zip,revised
2019,InstitutionalCharacteristics,IC,IC2019_AY.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2019_AY.zip,False,True,IC2019_AY_Dict.zip,
2019,InstitutionalCharacteristics,IC,IC2019_PY.zip,https://nces.ed.gov/ipeds/datacenter/data/IC2019_PY.zip,False,True,IC2019_PY_Dict.zip,
2019,Completions,C,C2019_A.zip,https://nces.ed.gov/ipeds/datacenter/data/C2019_A.zip,False,True,C2019_A_Dict.zip,revised
2019,Completions,C,C2019_B.zip,https://nces.ed.gov/ipeds/datacenter/data/C2019_B.zip,False,True,C2019_B_Dict.zip,revised
2019,Completions,C,C2019_C.zip,https://nces.ed.gov/ipeds/datacenter/data/C2019_C.zip,False,True,C2019_C_Dict.zip,revised
2019,Completions,C,C2019DEP.zip,https://nces.ed.gov/ipeds/datacenter/data/C2019DEP.zip,False,True,C2019DEP_Dict.zip,revised
2019,FallEnrollment,EF,EFFY2019.zip,https://nces.ed.gov/ipeds/datacenter/data/EFFY2019.zip,False,True,EFFY2019_Dict.zip,revised
2019,FallEnrollment,EF,EF2019A.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2019A.zip,False,True,EF2019A_Dict.zip,revised
2019,FallEnrollment,EF,EF2019B.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2019B.zip,False,True,EF2019B_Dict.zip,revised
2019,FallEnrollment,EF,EF2019C.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2019C.zip,False,True,EF2019C_Dict.zip,revised
2019,FallEnrollment,EF,EF2019D.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2019D.zip,False,True,EF2019D_Dict.zip,revised
2019,FallEnrollment,EF,EF2019A_DIST.zip,https://nces.ed.gov/ipeds/datacenter/data/EF2019A_DIST.zip,False,True,EF2019A_DIST_Dict.zip,revised
2019,FallEnrollment,EFIA,EFIA2019.zip,https://nces.ed.gov/ipeds/datacenter/data/EFIA2019.zip,False,True,EFIA2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F,FLAGS2019.zip,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2019.zip,False,True,FLAGS2019_Dict.zip,revised
2019,Finance,F1819,F1819_F1A.zip,https://nces.ed.gov/ipeds/datacenter/data/F1819_F1A.zip,False,True,F1819_F1A_Dict.zip,revised
2019,Finance,F1819,F1819_F2.zip,https://nces.ed.gov/ipeds/datacenter/data/F1819_F2.zip,False,True,F1819_F2_Dict.zip,revised
2019,Finance,F1819,F1819_F3.zip,https://nces.ed.gov/ipeds/datacenter/data/F1819_F3.zip,False,True,F1819_F3_Dict.zip,revised
2019,StudentFinancialAid,SFA,SFA1819.zip,https://nces.ed.gov/ipeds/datacenter/data/SFA1819.zip,False,True,SFA1819_Dict.zip,revised
2019,StudentFinancialAid,SFA,SFAV1819.zip,https://nces.ed.gov/ipeds/datacenter/data/SFAV1819.zip,False,True,SFAV1819_Dict.zip,revised
2019,GraduationRates,GR,GR2019.zip,https://nces.ed.gov/ipeds/datacenter/data/GR2019.zip,False,True,GR2019_Dict.zip,revised
2019,GraduationRates,GR,GR2019_L2.zip,https://nces.ed.gov/ipeds/datacenter/data/GR2019_L2.zip,False,True,GR2019_L2_Dict.zip,revised
2019,GraduationRates,GR,GR200_19.zip,https://nces.ed.gov/ipeds/datacenter/data/GR200_19.zip,False,True,GR200_19_Dict.zip,revised
2019,GraduationRates,PE,GR2019_PELL_SSL.zip,https://nces.ed.gov/ipeds/datacenter/data/GR2019_PELL_SSL.zip,False,True,GR2019_PELL_SSL_Dict.zip,revised
2019,HumanResources,SAL,SAL2019_IS.zip,https://nces.ed.gov/ipeds/datacenter/data/SAL2019_IS.zip,False,True,SAL2019_IS_Dict.zip,revised
2019,HumanResources,SAL,SAL2019_NIS.zip,https://nces.ed.gov/ipeds/datacenter/data/SAL2019_NIS.zip,False,True,SAL2019_NIS_Dict.zip,revised
2019,HumanResources,S,S2019_OC.zip,https://nces.ed.gov/ipeds/datacenter/data/S2019_OC.zip,False,True,S2019_OC_Dict.zip,revised
2019,HumanResources,S,S2019_SIS.zip,https://nces.ed.gov/ipeds/datacenter/data/S2019_SIS.zip,False,True,S2019_SIS_Dict.zip,revised
2019,HumanResources,S,S2019_IS.zip,https://nces.ed.gov/ipeds/datacenter/data/S2019_IS.zip,False,True,S2019_IS_Dict.zip,revised
2019,HumanResources,S,S2019_NH.zip,https://nces.ed.gov/ipeds/datacenter/data/S2019_NH.zip,False,True,S2019_NH_Dict.zip,revised
2019,HumanResources,EAP,EAP2019.zip,https://nces.ed.gov/ipeds/datacenter/data/EAP2019.zip,False,True,EAP2019_Dict.zip,revised
2019,OutcomeMeasures,OM,OM2019.zip,https://nces.ed.gov/ipeds/datacenter/data/OM2019.zip,False,True,OM2019_Dict.zip,revised
2019,Admissions,ADM,ADM2019.zip,https://nces.ed.gov/ipeds/datacenter/data/ADM2019.zip,False,True,ADM2019_Dict.zip,revised
2019,AcademicLibraries,AL,AL2019.zip,https://nces.ed.gov/ipeds/datacenter/data/AL2019.zip,False,True,AL2019_Dict.zip,revised
